	heatcol
1	#0000FF
2	#0202FE
3	#0404FE
4	#0606FD
5	#0808FD
6	#0B0BFD
7	#0D0DFC
8	#0F0FFC
9	#1111FC
10	#1313FB
11	#1616FB
12	#1818FB
13	#1A1AFA
14	#1C1CFA
15	#1E1EFA
16	#2121F9
17	#2323F9
18	#2525F8
19	#2727F8
20	#292AF8
21	#2C2CF7
22	#2E2EF7
23	#3030F7
24	#3232F6
25	#3435F6
26	#3737F6
27	#3939F5
28	#3B3BF5
29	#3D3DF5
30	#3F40F4
31	#4242F4
32	#4444F4
33	#4646F3
34	#4849F3
35	#4A4BF2
36	#4D4DF2
37	#4F4FF2
38	#5151F1
39	#5354F1
40	#5556F1
41	#5858F0
42	#5A5AF0
43	#5C5CF0
44	#5E5FEF
45	#6061EF
46	#6363EF
47	#6565EE
48	#6767EE
49	#696AEE
50	#6B6CED
51	#6E6EED
52	#7070EC
53	#7273EC
54	#7475EC
55	#7677EB
56	#7979EB
57	#7B7BEB
58	#7D7EEA
59	#7F80EA
60	#8182EA
61	#8484E9
62	#8686E9
63	#8889E9
64	#8A8BE8
65	#8C8DE8
66	#8F8FE8
67	#9192E7
68	#9394E7
69	#9596E6
70	#9798E6
71	#9A9AE6
72	#9C9DE5
73	#9E9FE5
74	#A0A1E5
75	#A2A3E4
76	#A5A5E4
77	#A7A8E4
78	#A9AAE3
79	#ABACE3
80	#ADAEE3
81	#B0B0E2
82	#B2B3E2
83	#B4B5E2
84	#B6B7E1
85	#B8B9E1
86	#BBBCE0
87	#BDBEE0
88	#BFC0E0
89	#C1C2DF
90	#C3C4DF
91	#C6C7DF
92	#C8C9DE
93	#CACBDE
94	#CCCDDE
95	#CECFDD
96	#D1D2DD
97	#D3D4DD
98	#D5D6DC
99	#D7D8DC
100	#DADBDC
