	heatcol
1	#DADBDC
2	#DAD8D9
3	#DAD6D7
4	#DBD4D5
5	#DBD2D3
6	#DBCFD0
7	#DCCDCE
8	#DCCBCC
9	#DCC9CA
10	#DDC7C8
11	#DDC4C5
12	#DEC2C3
13	#DEC0C1
14	#DEBEBF
15	#DFBCBC
16	#DFB9BA
17	#DFB7B8
18	#E0B5B6
19	#E0B3B4
20	#E1B0B1
21	#E1AEAF
22	#E1ACAD
23	#E2AAAB
24	#E2A8A8
25	#E2A5A6
26	#E3A3A4
27	#E3A1A2
28	#E49FA0
29	#E49D9D
30	#E49A9B
31	#E59899
32	#E59697
33	#E59494
34	#E69292
35	#E68F90
36	#E78D8E
37	#E78B8C
38	#E78989
39	#E88687
40	#E88485
41	#E88283
42	#E98080
43	#E97E7E
44	#EA7B7C
45	#EA797A
46	#EA7778
47	#EB7575
48	#EB7373
49	#EB7071
50	#EC6E6F
51	#EC6C6C
52	#ED6A6A
53	#ED6768
54	#ED6566
55	#EE6363
56	#EE6161
57	#EE5F5F
58	#EF5C5D
59	#EF5A5B
60	#F05858
61	#F05656
62	#F05454
63	#F15152
64	#F14F4F
65	#F14D4D
66	#F24B4B
67	#F24849
68	#F34647
69	#F34444
70	#F34242
71	#F44040
72	#F43D3E
73	#F43B3B
74	#F53939
75	#F53737
76	#F63535
77	#F63233
78	#F63030
79	#F72E2E
80	#F72C2C
81	#F72A2A
82	#F82728
83	#F82525
84	#F92323
85	#F92121
86	#F91E1F
87	#FA1C1C
88	#FA1A1A
89	#FA1818
90	#FB1616
91	#FB1313
92	#FC1111
93	#FC0F0F
94	#FC0D0D
95	#FD0B0B
96	#FD0808
97	#FD0606
98	#FE0404
99	#FE0202
100	#FF0000
